epoch,loss,val_loss
0,5227.49684184,650.016063406
1,1047.84166477,526.860717486
2,1040.49054445,528.369055421
3,1040.15726656,527.178802633
4,1042.37062667,526.09098951
5,1040.83199366,525.847271141
6,1038.06770528,532.048334551
7,1041.4849175,527.379272621
8,1042.82694147,526.808456289
9,1040.88121352,528.237428139
10,1041.02030094,526.616273392
11,1041.63231042,527.97011999
12,1041.09156486,525.955983614
13,1041.48457032,525.983378611
14,1035.34538697,530.768685294
15,1045.34234309,527.085318453
16,1043.37653203,526.508605991
17,1041.68358249,532.393790532
18,1045.85625782,525.86357757
19,1039.45588923,528.938113211
20,1039.5067746,533.978230228
21,1042.62375436,525.833829678
22,1039.7199932,529.983864697
23,1041.69884666,525.935055744
24,1039.98744586,526.074792787
25,1040.89242085,533.719945339
26,1039.60700067,526.238176714
27,1040.73210731,527.542236265
28,1034.5206917,536.677221296
29,1043.87764077,526.386568024
30,1040.43666632,526.224260172
31,1039.1041217,527.165886047
32,1039.96122887,533.005948473
33,1042.22791165,526.872867635
34,1039.56211599,533.936371425
35,1041.0301465,526.191508168
36,1035.13929392,529.781739729
37,1040.10688559,533.944842415
38,1040.10628422,527.788392649
39,1040.41208828,528.428534331
40,1041.36554815,536.994454542
41,1043.08239741,525.767653066
42,1038.76305328,526.225402275
43,1039.38025472,526.678669775
44,1035.35212705,534.536251487
45,1040.36331353,527.646752624
46,1040.30085409,526.125788232
47,1041.04544571,530.087054821
48,1042.58960929,526.118288286
49,1031.3012338,538.502476158
50,1044.31476767,525.893844804
51,1042.38504953,525.778577246
52,1040.36714435,525.921883131
53,1041.41760714,529.114998832
54,1039.64757032,528.179008922
55,1040.782772,527.429797388
56,1039.93842923,525.980906294
57,1040.94552942,526.624887027
58,1039.50788389,534.151458448
59,1043.64847555,528.234007663
60,1035.17929943,537.488346633
61,1040.37295429,525.852675726
62,1037.81921454,535.543872325
63,1045.18030519,526.017792359
64,1040.98594977,527.055787628
65,1042.53006767,525.775989225
66,1037.38921368,530.257794187
67,1042.37573551,525.77057174
68,1040.06273617,527.111737808
69,1043.72600967,526.910850064
70,1039.97485489,525.865451112
71,1037.17628479,536.170873787
72,1043.90655605,527.0856334
73,1042.65260709,530.016933878
74,1028.58178024,553.948362495
75,1041.80761581,525.851806579
76,1035.35778582,530.717066627
77,1040.01749615,526.475071691
78,1042.29666355,526.128899255
