epoch,loss,val_loss
0,60.2337250676,108.138634343
1,18.603436499,90.1505313474
2,17.4868364206,52.6033911309
3,16.9813928217,54.1511589885
4,16.364260521,25.7801252507
5,16.2353859564,44.5713738732
6,16.1826928581,48.3222230842
7,16.1813212581,27.7182136627
8,16.4437024326,34.2700203762
9,15.9177813979,19.4262644948
10,15.6188111481,68.1766169241
11,15.4801203703,18.0534909256
12,15.6822447362,22.4397810273
13,15.2506753054,24.6683625204
14,15.3905063105,19.9858390829
15,15.1633508586,30.6033430019
16,15.0046306836,41.3918093666
17,14.8130974156,21.8015700194
18,14.7080153697,18.6940463439
19,14.9565843541,26.1516752553
